Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
59742,1261,29080.0,1599,53.0,17.0,181,163.0,2.0,2.0,64.0,158.0,32.0,32.0,32.0,0.0,79.0,79.0,79.0,0.0,1361963.19,24539.8773,54.33333333,92.37604307,161.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,64.0,12269.93865,12269.93865,32.0,79.0,50.8,25.7429602,662.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.5,32.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,158.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
63088,1261,62952.0,1599,53.0,17.0,181,159.0,2.0,2.0,48.0,48.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,603773.5849,25157.2327,53.0,90.06664199,157.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,64.0,12578.61635,12578.61635,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,2.0,48.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
16288,1256,5353.0,2274,5353.0,17.0,181,63752405.0,207.0,0.0,16807.0,0.0,153.0,37.0,81.19323671,44.66663307,0.0,0.0,0.0,0.0,263.6292701,3.246936331,309477.6942,2497196.948,32000000.0,1.0,63800000.0,309477.6942,2497196.948,32000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5676.0,0.0,3.246936331,0.0,37.0,153.0,81.25961538,44.56889476,1986.386381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65217391,81.19323671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,16807.0,0.0,0.0,-1.0,-1.0,206.0,20.0,3411828.667,3336632.089,6667818.0,14.0,17800000.0,12900000.0,32000000.0,6854624.0,BENIGN
35874,1256,51981.0,1599,53.0,17.0,181,199.0,2.0,2.0,80.0,180.0,40.0,40.0,40.0,0.0,90.0,90.0,90.0,0.0,1306532.663,20100.50251,66.33333333,30.89228598,102.0,48.0,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,10050.25126,10050.25126,40.0,90.0,60.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,2.0,180.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
36942,1256,48148.0,1599,88.0,17.0,181,365.0,2.0,2.0,348.0,358.0,174.0,174.0,174.0,0.0,179.0,179.0,179.0,0.0,1934246.575,10958.90411,121.6666667,203.804645,357.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,5479.452055,5479.452055,174.0,179.0,176.0,2.738612788,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220.0,174.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,348.0,2.0,358.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17308,1256,123.0,4642,123.0,17.0,182,70017955.0,8.0,5.0,384.0,240.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,8.911999786,0.185666662,5834829.583,16800000.0,59000000.0,24239.0,70000000.0,9999102.286,21600000.0,59000000.0,996496.0,70000000.0,17500000.0,27800000.0,59000000.0,997036.0,0.0,0.0,0.0,0.0,132.0,72.0,0.114256408,0.071410255,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.69230769,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,384.0,5.0,240.0,-1.0,-1.0,7.0,0.0,11000000.0,0.0,11000000.0,11000000.0,59000000.0,0.0,59000000.0,59000000.0,BENIGN
34693,1256,31465.0,1599,53.0,17.0,182,212.0,2.0,2.0,78.0,206.0,39.0,39.0,39.0,0.0,103.0,103.0,103.0,0.0,1339622.642,18867.92453,70.66666667,117.2021046,206.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9433.962264,9433.962264,39.0,103.0,64.6,35.05424368,1228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.75,39.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,206.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
49737,1258,49421.0,1599,88.0,6.0,182,84.0,1.0,4.0,6.0,24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,357142.8571,59523.80952,21.0,33.77375707,71.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,24.0,40.70626487,71.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,11904.7619,47619.04762,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.2,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,24.0,256.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
41749,1258,49425.0,1599,389.0,6.0,182,8754.0,12.0,11.0,4202.0,5712.0,1696.0,0.0,350.1666667,641.7499985,2634.0,0.0,519.2727273,870.0626519,1132510.852,2627.370345,397.9090909,1180.768148,5444.0,2.0,8737.0,794.2727273,1659.116517,5444.0,3.0,8715.0,871.5,1761.887829,5636.0,2.0,0.0,0.0,0.0,0.0,264.0,244.0,1370.801919,1256.568426,0.0,2634.0,413.0833333,735.5134803,540980.0797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,431.0434783,350.1666667,519.2727273,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4202.0,11.0,5712.0,8192.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
30278,1261,123.0,1959,123.0,17.0,182,68021941.0,7.0,7.0,336.0,336.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,9.879165312,0.205815944,5232457.0,15900000.0,58000000.0,22037.0,68000000.0,11300000.0,22900000.0,58000000.0,1999911.0,68000000.0,11300000.0,22900000.0,58000000.0,1999487.0,0.0,0.0,0.0,0.0,140.0,140.0,0.102907972,0.102907972,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.42857143,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,336.0,7.0,336.0,-1.0,-1.0,6.0,20.0,10000000.0,0.0,10000000.0,10000000.0,58000000.0,0.0,58000000.0,58000000.0,BENIGN
